f_inf (dimensionless),V (millivolt)
0.999702,-76.82
0.999701,-76.81
0.999701,-76.8
0.9997,-76.79
0.9997,-76.78
0.9997,-76.77
0.999699,-76.76
0.999699,-76.75
0.999698,-76.74
0.999698,-76.73
0.999697,-76.72
0.999697,-76.71
0.999697,-76.7
0.999696,-76.69
0.999696,-76.68
0.999695,-76.67
0.999695,-76.66
0.999694,-76.65
0.999694,-76.64
0.999694,-76.63
0.999693,-76.62
0.999693,-76.61
0.999692,-76.6
0.999692,-76.59
0.999691,-76.58
0.999691,-76.57
0.99969,-76.56
0.99969,-76.55
0.99969,-76.54
0.999689,-76.53
0.999689,-76.52
0.999688,-76.51
0.999688,-76.5
0.999687,-76.49
0.999687,-76.48
0.999686,-76.47
0.999686,-76.46
0.999686,-76.45
0.999685,-76.44
0.999685,-76.43
0.999684,-76.42
0.999684,-76.41
0.999683,-76.4
0.999683,-76.39
0.999682,-76.38
0.999682,-76.37
0.999681,-76.36
0.999681,-76.35
0.999681,-76.34
0.99968,-76.33
0.99968,-76.32
0.999679,-76.31
0.999679,-76.3
0.999678,-76.29
0.999678,-76.28
0.999677,-76.27
0.999677,-76.26
0.999676,-76.25
0.999676,-76.24
0.999675,-76.23
0.999675,-76.22
0.999675,-76.21
0.999674,-76.2
0.999674,-76.19
0.999673,-76.18
0.999673,-76.17
0.999672,-76.16
0.999672,-76.15
0.999671,-76.14
0.999671,-76.13
0.99967,-76.12
0.99967,-76.11
0.999669,-76.1
0.999669,-76.09
0.999668,-76.08
0.999668,-76.07
0.999668,-76.06
0.999667,-76.05
0.999667,-76.04
0.999666,-76.03
0.999666,-76.02
0.999665,-76.01
0.999665,-76
0.999664,-75.99
0.999664,-75.98
0.999663,-75.97
0.999663,-75.96
0.999662,-75.95
0.999662,-75.94
0.999661,-75.93
0.999661,-75.92
0.99966,-75.91
0.99966,-75.9
0.999659,-75.89
0.999659,-75.88
0.999658,-75.87
0.999658,-75.86
0.999657,-75.85
0.999657,-75.84
0.999656,-75.83
0.999656,-75.82
0.999655,-75.81
0.999655,-75.8
0.999654,-75.79
0.999654,-75.78
0.999653,-75.77
0.999653,-75.76
0.999652,-75.75
0.999652,-75.74
0.999651,-75.73
0.999651,-75.72
0.99965,-75.71
0.99965,-75.7
0.999649,-75.69
0.999649,-75.68
0.999648,-75.67
0.999648,-75.66
0.999647,-75.65
0.999647,-75.64
0.999646,-75.63
0.999646,-75.62
0.999645,-75.61
0.999645,-75.6
0.999644,-75.59
0.999644,-75.58
0.999643,-75.57
0.999643,-75.56
0.999642,-75.55
0.999642,-75.54
0.999641,-75.53
0.999641,-75.52
0.99964,-75.51
0.99964,-75.5
0.999639,-75.49
0.999639,-75.48
0.999638,-75.47
0.999638,-75.46
0.999637,-75.45
0.999637,-75.44
0.999636,-75.43
0.999636,-75.42
0.999635,-75.41
0.999635,-75.4
0.999634,-75.39
0.999634,-75.38
0.999633,-75.37
0.999633,-75.36
0.999632,-75.35
0.999632,-75.34
0.999631,-75.33
0.99963,-75.32
0.99963,-75.31
0.999629,-75.3
0.999629,-75.29
0.999628,-75.28
0.999628,-75.27
0.999627,-75.26
0.999627,-75.25
0.999626,-75.24
0.999626,-75.23
0.999625,-75.22
0.999625,-75.21
0.999624,-75.2
0.999624,-75.19
0.999623,-75.18
0.999622,-75.17
0.999622,-75.16
0.999621,-75.15
0.999621,-75.14
0.99962,-75.13
0.99962,-75.12
0.999619,-75.11
0.999619,-75.1
0.999618,-75.09
0.999618,-75.08
0.999617,-75.07
0.999616,-75.06
0.999616,-75.05
0.999615,-75.04
0.999615,-75.03
0.999614,-75.02
0.999614,-75.01
0.999613,-75
0.999613,-74.99
0.999612,-74.98
0.999612,-74.97
0.999611,-74.96
0.99961,-74.95
0.99961,-74.94
0.999609,-74.93
0.999609,-74.92
0.999608,-74.91
0.999608,-74.9
0.999607,-74.89
0.999606,-74.88
0.999606,-74.87
0.999605,-74.86
0.999605,-74.85
0.999604,-74.84
0.999604,-74.83
0.999603,-74.82
0.999603,-74.81
0.999602,-74.8
0.999601,-74.79
0.999601,-74.78
0.9996,-74.77
0.9996,-74.76
0.999599,-74.75
0.999599,-74.74
0.999598,-74.73
0.999597,-74.72
0.999597,-74.71
0.999596,-74.7
0.999596,-74.69
0.999595,-74.68
0.999595,-74.67
0.999594,-74.66
0.999593,-74.65
0.999593,-74.64
0.999592,-74.63
0.999592,-74.62
0.999591,-74.61
0.99959,-74.6
0.99959,-74.59
0.999589,-74.58
0.999589,-74.57
0.999588,-74.56
0.999587,-74.55
0.999587,-74.54
0.999586,-74.53
0.999586,-74.52
0.999585,-74.51
0.999585,-74.5
0.999584,-74.49
0.999583,-74.48
0.999583,-74.47
0.999582,-74.46
0.999582,-74.45
0.999581,-74.44
0.99958,-74.43
0.99958,-74.42
0.999579,-74.41
0.999579,-74.4
0.999578,-74.39
0.999577,-74.38
0.999577,-74.37
0.999576,-74.36
0.999576,-74.35
0.999575,-74.34
0.999574,-74.33
0.999574,-74.32
0.999573,-74.31
0.999573,-74.3
0.999572,-74.29
0.999571,-74.28
0.999571,-74.27
0.99957,-74.26
0.999569,-74.25
0.999569,-74.24
0.999568,-74.23
0.999568,-74.22
0.999567,-74.21
0.999566,-74.2
0.999566,-74.19
0.999565,-74.18
0.999564,-74.17
0.999564,-74.16
0.999563,-74.15
0.999563,-74.14
0.999562,-74.13
0.999561,-74.12
0.999561,-74.11
0.99956,-74.1
0.999559,-74.09
0.999559,-74.08
0.999558,-74.07
0.999558,-74.06
0.999557,-74.05
0.999556,-74.04
0.999556,-74.03
0.999555,-74.02
0.999554,-74.01
0.999554,-74
0.999553,-73.99
0.999553,-73.98
0.999552,-73.97
0.999551,-73.96
0.999551,-73.95
0.99955,-73.94
0.999549,-73.93
0.999549,-73.92
0.999548,-73.91
0.999547,-73.9
0.999547,-73.89
0.999546,-73.88
0.999545,-73.87
0.999545,-73.86
0.999544,-73.85
0.999543,-73.84
0.999543,-73.83
0.999542,-73.82
0.999542,-73.81
0.999541,-73.8
0.99954,-73.79
0.99954,-73.78
0.999539,-73.77
0.999538,-73.76
0.999538,-73.75
0.999537,-73.74
0.999536,-73.73
0.999536,-73.72
0.999535,-73.71
0.999534,-73.7
0.999534,-73.69
0.999533,-73.68
0.999532,-73.67
0.999532,-73.66
0.999531,-73.65
0.99953,-73.64
0.99953,-73.63
0.999529,-73.62
0.999528,-73.61
0.999528,-73.6
0.999527,-73.59
0.999526,-73.58
0.999526,-73.57
0.999525,-73.56
0.999524,-73.55
0.999524,-73.54
0.999523,-73.53
0.999522,-73.52
0.999521,-73.51
0.999521,-73.5
0.99952,-73.49
0.999519,-73.48
0.999519,-73.47
0.999518,-73.46
0.999517,-73.45
0.999517,-73.44
0.999516,-73.43
0.999515,-73.42
0.999515,-73.41
0.999514,-73.4
0.999513,-73.39
0.999512,-73.38
0.999512,-73.37
0.999511,-73.36
0.99951,-73.35
0.99951,-73.34
0.999509,-73.33
0.999508,-73.32
0.999508,-73.31
0.999507,-73.3
0.999506,-73.29
0.999505,-73.28
0.999505,-73.27
0.999504,-73.26
0.999503,-73.25
0.999503,-73.24
0.999502,-73.23
0.999501,-73.22
0.999501,-73.21
0.9995,-73.2
0.999499,-73.19
0.999498,-73.18
0.999498,-73.17
0.999497,-73.16
0.999496,-73.15
0.999495,-73.14
0.999495,-73.13
0.999494,-73.12
0.999493,-73.11
0.999493,-73.1
0.999492,-73.09
0.999491,-73.08
0.99949,-73.07
0.99949,-73.06
0.999489,-73.05
0.999488,-73.04
0.999488,-73.03
0.999487,-73.02
0.999486,-73.01
0.999485,-73
0.999485,-72.99
0.999484,-72.98
0.999483,-72.97
0.999482,-72.96
0.999482,-72.95
0.999481,-72.94
0.99948,-72.93
0.999479,-72.92
0.999479,-72.91
0.999478,-72.9
0.999477,-72.89
0.999476,-72.88
0.999476,-72.87
0.999475,-72.86
0.999474,-72.85
0.999473,-72.84
0.999473,-72.83
0.999472,-72.82
0.999471,-72.81
0.99947,-72.8
0.99947,-72.79
0.999469,-72.78
0.999468,-72.77
0.999467,-72.76
0.999467,-72.75
0.999466,-72.74
0.999465,-72.73
0.999464,-72.72
0.999464,-72.71
0.999463,-72.7
0.999462,-72.69
0.999461,-72.68
0.99946,-72.67
0.99946,-72.66
0.999459,-72.65
0.999458,-72.64
0.999457,-72.63
0.999457,-72.62
0.999456,-72.61
0.999455,-72.6
0.999454,-72.59
0.999453,-72.58
0.999453,-72.57
0.999452,-72.56
0.999451,-72.55
0.99945,-72.54
0.99945,-72.53
0.999449,-72.52
0.999448,-72.51
0.999447,-72.5
0.999446,-72.49
0.999446,-72.48
0.999445,-72.47
0.999444,-72.46
0.999443,-72.45
0.999442,-72.44
0.999442,-72.43
0.999441,-72.42
0.99944,-72.41
0.999439,-72.4
0.999438,-72.39
0.999438,-72.38
0.999437,-72.37
0.999436,-72.36
0.999435,-72.35
0.999434,-72.34
0.999434,-72.33
0.999433,-72.32
0.999432,-72.31
0.999431,-72.3
0.99943,-72.29
0.99943,-72.28
0.999429,-72.27
0.999428,-72.26
0.999427,-72.25
0.999426,-72.24
0.999425,-72.23
0.999425,-72.22
0.999424,-72.21
0.999423,-72.2
0.999422,-72.19
0.999421,-72.18
0.999421,-72.17
0.99942,-72.16
0.999419,-72.15
0.999418,-72.14
0.999417,-72.13
0.999416,-72.12
0.999416,-72.11
0.999415,-72.1
0.999414,-72.09
0.999413,-72.08
0.999412,-72.07
0.999411,-72.06
0.999411,-72.05
0.99941,-72.04
0.999409,-72.03
0.999408,-72.02
0.999407,-72.01
0.999406,-72
0.999405,-71.99
0.999405,-71.98
0.999404,-71.97
0.999403,-71.96
0.999402,-71.95
0.999401,-71.94
0.9994,-71.93
0.999399,-71.92
0.999399,-71.91
0.999398,-71.9
0.999397,-71.89
0.999396,-71.88
0.999395,-71.87
0.999394,-71.86
0.999393,-71.85
0.999393,-71.84
0.999392,-71.83
0.999391,-71.82
0.99939,-71.81
0.999389,-71.8
0.999388,-71.79
0.999387,-71.78
0.999386,-71.77
0.999386,-71.76
0.999385,-71.75
0.999384,-71.74
0.999383,-71.73
0.999382,-71.72
0.999381,-71.71
0.99938,-71.7
0.999379,-71.69
0.999379,-71.68
0.999378,-71.67
0.999377,-71.66
0.999376,-71.65
0.999375,-71.64
0.999374,-71.63
0.999373,-71.62
0.999372,-71.61
0.999371,-71.6
0.999371,-71.59
0.99937,-71.58
0.999369,-71.57
0.999368,-71.56
0.999367,-71.55
0.999366,-71.54
0.999365,-71.53
0.999364,-71.52
0.999363,-71.51
0.999362,-71.5
0.999361,-71.49
0.999361,-71.48
0.99936,-71.47
0.999359,-71.46
0.999358,-71.45
0.999357,-71.44
0.999356,-71.43
0.999355,-71.42
0.999354,-71.41
0.999353,-71.4
0.999352,-71.39
0.999351,-71.38
0.99935,-71.37
0.99935,-71.36
0.999349,-71.35
0.999348,-71.34
0.999347,-71.33
0.999346,-71.32
0.999345,-71.31
0.999344,-71.3
0.999343,-71.29
0.999342,-71.28
0.999341,-71.27
0.99934,-71.26
0.999339,-71.25
0.999338,-71.24
0.999337,-71.23
0.999336,-71.22
0.999335,-71.21
0.999334,-71.2
0.999334,-71.19
0.999333,-71.18
0.999332,-71.17
0.999331,-71.16
0.99933,-71.15
0.999329,-71.14
0.999328,-71.13
0.999327,-71.12
0.999326,-71.11
0.999325,-71.1
0.999324,-71.09
0.999323,-71.08
0.999322,-71.07
0.999321,-71.06
0.99932,-71.05
0.999319,-71.04
0.999318,-71.03
0.999317,-71.02
0.999316,-71.01
0.999315,-71
0.999314,-70.99
0.999313,-70.98
0.999312,-70.97
0.999311,-70.96
0.99931,-70.95
0.999309,-70.94
0.999308,-70.93
0.999307,-70.92
0.999306,-70.91
0.999305,-70.9
0.999304,-70.89
0.999303,-70.88
0.999302,-70.87
0.999301,-70.86
0.9993,-70.85
0.999299,-70.84
0.999298,-70.83
0.999297,-70.82
0.999296,-70.81
0.999295,-70.8
0.999294,-70.79
0.999293,-70.78
0.999292,-70.77
0.999291,-70.76
0.99929,-70.75
0.999289,-70.74
0.999288,-70.73
0.999287,-70.72
0.999286,-70.71
0.999285,-70.7
0.999284,-70.69
0.999283,-70.68
0.999282,-70.67
0.999281,-70.66
0.99928,-70.65
0.999279,-70.64
0.999278,-70.63
0.999277,-70.62
0.999276,-70.61
0.999275,-70.6
0.999274,-70.59
0.999273,-70.58
0.999272,-70.57
0.999271,-70.56
0.99927,-70.55
0.999269,-70.54
0.999268,-70.53
0.999267,-70.52
0.999266,-70.51
0.999265,-70.5
0.999263,-70.49
0.999262,-70.48
0.999261,-70.47
0.99926,-70.46
0.999259,-70.45
0.999258,-70.44
0.999257,-70.43
0.999256,-70.42
0.999255,-70.41
0.999254,-70.4
0.999253,-70.39
0.999252,-70.38
0.999251,-70.37
0.99925,-70.36
0.999249,-70.35
0.999248,-70.34
0.999246,-70.33
0.999245,-70.32
0.999244,-70.31
0.999243,-70.3
0.999242,-70.29
0.999241,-70.28
0.99924,-70.27
0.999239,-70.26
0.999238,-70.25
0.999237,-70.24
0.999236,-70.23
0.999235,-70.22
0.999233,-70.21
0.999232,-70.2
0.999231,-70.19
0.99923,-70.18
0.999229,-70.17
0.999228,-70.16
0.999227,-70.15
0.999226,-70.14
0.999225,-70.13
0.999224,-70.12
0.999222,-70.11
0.999221,-70.1
0.99922,-70.09
0.999219,-70.08
0.999218,-70.07
0.999217,-70.06
0.999216,-70.05
0.999215,-70.04
0.999214,-70.03
0.999212,-70.02
0.999211,-70.01
0.99921,-70
0.999209,-69.99
0.999208,-69.98
0.999207,-69.97
0.999206,-69.96
0.999204,-69.95
0.999203,-69.94
0.999202,-69.93
0.999201,-69.92
0.9992,-69.91
0.999199,-69.9
0.999198,-69.89
0.999196,-69.88
0.999195,-69.87
0.999194,-69.86
0.999193,-69.85
0.999192,-69.84
0.999191,-69.83
0.99919,-69.82
0.999188,-69.81
0.999187,-69.8
0.999186,-69.79
0.999185,-69.78
0.999184,-69.77
0.999183,-69.76
0.999181,-69.75
0.99918,-69.74
0.999179,-69.73
0.999178,-69.72
0.999177,-69.71
0.999176,-69.7
0.999174,-69.69
0.999173,-69.68
0.999172,-69.67
0.999171,-69.66
0.99917,-69.65
0.999168,-69.64
0.999167,-69.63
0.999166,-69.62
0.999165,-69.61
0.999164,-69.6
0.999163,-69.59
0.999161,-69.58
0.99916,-69.57
0.999159,-69.56
0.999158,-69.55
0.999157,-69.54
0.999155,-69.53
0.999154,-69.52
0.999153,-69.51
0.999152,-69.5
0.99915,-69.49
0.999149,-69.48
0.999148,-69.47
0.999147,-69.46
0.999146,-69.45
0.999144,-69.44
0.999143,-69.43
0.999142,-69.42
0.999141,-69.41
0.99914,-69.4
0.999138,-69.39
0.999137,-69.38
0.999136,-69.37
0.999135,-69.36
0.999133,-69.35
0.999132,-69.34
0.999131,-69.33
0.99913,-69.32
0.999128,-69.31
0.999127,-69.3
0.999126,-69.29
0.999125,-69.28
0.999123,-69.27
0.999122,-69.26
0.999121,-69.25
0.99912,-69.24
0.999118,-69.23
0.999117,-69.22
0.999116,-69.21
0.999115,-69.2
0.999113,-69.19
0.999112,-69.18
0.999111,-69.17
0.99911,-69.16
0.999108,-69.15
0.999107,-69.14
0.999106,-69.13
0.999104,-69.12
0.999103,-69.11
0.999102,-69.1
0.999101,-69.09
0.999099,-69.08
0.999098,-69.07
0.999097,-69.06
0.999095,-69.05
0.999094,-69.04
0.999093,-69.03
0.999092,-69.02
0.99909,-69.01
0.999089,-69
0.999088,-68.99
0.999086,-68.98
0.999085,-68.97
0.999084,-68.96
0.999082,-68.95
0.999081,-68.94
0.99908,-68.93
0.999078,-68.92
0.999077,-68.91
0.999076,-68.9
0.999075,-68.89
0.999073,-68.88
0.999072,-68.87
0.999071,-68.86
0.999069,-68.85
0.999068,-68.84
0.999067,-68.83
0.999065,-68.82
0.999064,-68.81
0.999063,-68.8
0.999061,-68.79
0.99906,-68.78
0.999059,-68.77
0.999057,-68.76
0.999056,-68.75
0.999055,-68.74
0.999053,-68.73
