f_inf (dimensionless),V (millivolt)
0.998626,-66.12
0.998624,-66.11
0.998622,-66.1
0.99862,-66.09
0.998618,-66.08
0.998616,-66.07
0.998614,-66.06
0.998612,-66.05
0.99861,-66.04
0.998608,-66.03
0.998606,-66.02
0.998604,-66.01
0.998602,-66
0.9986,-65.99
0.998598,-65.98
0.998596,-65.97
0.998594,-65.96
0.998592,-65.95
0.99859,-65.94
0.998588,-65.93
0.998586,-65.92
0.998584,-65.91
0.998582,-65.9
0.99858,-65.89
0.998578,-65.88
0.998576,-65.87
0.998574,-65.86
0.998572,-65.85
0.99857,-65.84
0.998568,-65.83
0.998566,-65.82
0.998564,-65.81
0.998562,-65.8
0.99856,-65.79
0.998558,-65.78
0.998556,-65.77
0.998553,-65.76
0.998551,-65.75
0.998549,-65.74
0.998547,-65.73
0.998545,-65.72
0.998543,-65.71
0.998541,-65.7
0.998539,-65.69
0.998537,-65.68
0.998535,-65.67
0.998533,-65.66
0.998531,-65.65
0.998528,-65.64
0.998526,-65.63
0.998524,-65.62
0.998522,-65.61
0.99852,-65.6
0.998518,-65.59
0.998516,-65.58
0.998514,-65.57
0.998512,-65.56
0.998509,-65.55
0.998507,-65.54
0.998505,-65.53
0.998503,-65.52
0.998501,-65.51
0.998499,-65.5
0.998497,-65.49
0.998495,-65.48
0.998492,-65.47
0.99849,-65.46
0.998488,-65.45
0.998486,-65.44
0.998484,-65.43
0.998482,-65.42
0.998479,-65.41
0.998477,-65.4
0.998475,-65.39
0.998473,-65.38
0.998471,-65.37
0.998469,-65.36
0.998466,-65.35
0.998464,-65.34
0.998462,-65.33
0.99846,-65.32
0.998458,-65.31
0.998455,-65.3
0.998453,-65.29
0.998451,-65.28
0.998449,-65.27
0.998447,-65.26
0.998444,-65.25
0.998442,-65.24
0.99844,-65.23
0.998438,-65.22
0.998435,-65.21
0.998433,-65.2
0.998431,-65.19
0.998429,-65.18
0.998426,-65.17
0.998424,-65.16
0.998422,-65.15
0.99842,-65.14
0.998417,-65.13
0.998415,-65.12
0.998413,-65.11
0.998411,-65.1
0.998408,-65.09
0.998406,-65.08
0.998404,-65.07
0.998402,-65.06
0.998399,-65.05
0.998397,-65.04
0.998395,-65.03
0.998392,-65.02
0.99839,-65.01
0.998388,-65
0.998386,-64.99
0.998383,-64.98
0.998381,-64.97
0.998379,-64.96
0.998376,-64.95
0.998374,-64.94
0.998372,-64.93
0.998369,-64.92
0.998367,-64.91
0.998365,-64.9
0.998362,-64.89
0.99836,-64.88
0.998358,-64.87
0.998355,-64.86
0.998353,-64.85
0.998351,-64.84
0.998348,-64.83
0.998346,-64.82
0.998344,-64.81
0.998341,-64.8
0.998339,-64.79
0.998336,-64.78
0.998334,-64.77
0.998332,-64.76
0.998329,-64.75
0.998327,-64.74
0.998325,-64.73
0.998322,-64.72
0.99832,-64.71
0.998317,-64.7
0.998315,-64.69
0.998313,-64.68
0.99831,-64.67
0.998308,-64.66
0.998305,-64.65
0.998303,-64.64
0.9983,-64.63
0.998298,-64.62
0.998296,-64.61
0.998293,-64.6
0.998291,-64.59
0.998288,-64.58
0.998286,-64.57
0.998283,-64.56
0.998281,-64.55
0.998279,-64.54
0.998276,-64.53
0.998274,-64.52
0.998271,-64.51
0.998269,-64.5
0.998266,-64.49
0.998264,-64.48
0.998261,-64.47
0.998259,-64.46
0.998256,-64.45
0.998254,-64.44
0.998251,-64.43
0.998249,-64.42
0.998246,-64.41
0.998244,-64.4
0.998241,-64.39
0.998239,-64.38
0.998236,-64.37
0.998234,-64.36
0.998231,-64.35
0.998229,-64.34
0.998226,-64.33
0.998224,-64.32
0.998221,-64.31
0.998219,-64.3
0.998216,-64.29
0.998214,-64.28
0.998211,-64.27
0.998208,-64.26
0.998206,-64.25
0.998203,-64.24
0.998201,-64.23
0.998198,-64.22
0.998196,-64.21
0.998193,-64.2
0.99819,-64.19
0.998188,-64.18
0.998185,-64.17
0.998183,-64.16
0.99818,-64.15
0.998177,-64.14
0.998175,-64.13
0.998172,-64.12
0.99817,-64.11
0.998167,-64.1
0.998164,-64.09
0.998162,-64.08
0.998159,-64.07
0.998157,-64.06
0.998154,-64.05
0.998151,-64.04
0.998149,-64.03
0.998146,-64.02
0.998143,-64.01
0.998141,-64
0.998138,-63.99
0.998135,-63.98
0.998133,-63.97
0.99813,-63.96
0.998127,-63.95
0.998125,-63.94
0.998122,-63.93
0.998119,-63.92
0.998117,-63.91
0.998114,-63.9
0.998111,-63.89
0.998109,-63.88
0.998106,-63.87
0.998103,-63.86
0.998101,-63.85
0.998098,-63.84
0.998095,-63.83
0.998092,-63.82
0.99809,-63.81
0.998087,-63.8
0.998084,-63.79
0.998081,-63.78
0.998079,-63.77
0.998076,-63.76
0.998073,-63.75
0.998071,-63.74
0.998068,-63.73
0.998065,-63.72
0.998062,-63.71
0.998059,-63.7
0.998057,-63.69
0.998054,-63.68
0.998051,-63.67
0.998048,-63.66
0.998046,-63.65
0.998043,-63.64
0.99804,-63.63
0.998037,-63.62
0.998034,-63.61
0.998032,-63.6
0.998029,-63.59
0.998026,-63.58
0.998023,-63.57
0.99802,-63.56
0.998018,-63.55
0.998015,-63.54
0.998012,-63.53
0.998009,-63.52
0.998006,-63.51
0.998003,-63.5
0.998001,-63.49
0.997998,-63.48
0.997995,-63.47
0.997992,-63.46
0.997989,-63.45
0.997986,-63.44
0.997983,-63.43
0.99798,-63.42
0.997978,-63.41
0.997975,-63.4
0.997972,-63.39
0.997969,-63.38
0.997966,-63.37
0.997963,-63.36
0.99796,-63.35
0.997957,-63.34
0.997954,-63.33
0.997951,-63.32
0.997949,-63.31
0.997946,-63.3
0.997943,-63.29
0.99794,-63.28
0.997937,-63.27
0.997934,-63.26
0.997931,-63.25
0.997928,-63.24
0.997925,-63.23
0.997922,-63.22
0.997919,-63.21
0.997916,-63.2
0.997913,-63.19
0.99791,-63.18
0.997907,-63.17
0.997904,-63.16
0.997901,-63.15
0.997898,-63.14
0.997895,-63.13
0.997892,-63.12
0.997889,-63.11
0.997886,-63.1
0.997883,-63.09
0.99788,-63.08
0.997877,-63.07
0.997874,-63.06
0.997871,-63.05
0.997868,-63.04
0.997865,-63.03
0.997862,-63.02
0.997859,-63.01
0.997856,-63
0.997853,-62.99
0.99785,-62.98
0.997847,-62.97
0.997844,-62.96
0.99784,-62.95
0.997837,-62.94
0.997834,-62.93
0.997831,-62.92
0.997828,-62.91
0.997825,-62.9
0.997822,-62.89
0.997819,-62.88
0.997816,-62.87
0.997813,-62.86
0.997809,-62.85
0.997806,-62.84
0.997803,-62.83
0.9978,-62.82
0.997797,-62.81
0.997794,-62.8
0.997791,-62.79
0.997788,-62.78
0.997784,-62.77
0.997781,-62.76
0.997778,-62.75
0.997775,-62.74
0.997772,-62.73
0.997769,-62.72
0.997765,-62.71
0.997762,-62.7
0.997759,-62.69
0.997756,-62.68
0.997753,-62.67
0.997749,-62.66
0.997746,-62.65
0.997743,-62.64
0.99774,-62.63
0.997736,-62.62
0.997733,-62.61
0.99773,-62.6
0.997727,-62.59
0.997724,-62.58
0.99772,-62.57
0.997717,-62.56
0.997714,-62.55
0.997711,-62.54
0.997707,-62.53
0.997704,-62.52
0.997701,-62.51
0.997697,-62.5
0.997694,-62.49
0.997691,-62.48
0.997688,-62.47
0.997684,-62.46
0.997681,-62.45
0.997678,-62.44
0.997674,-62.43
0.997671,-62.42
0.997668,-62.41
0.997664,-62.4
0.997661,-62.39
0.997658,-62.38
0.997654,-62.37
0.997651,-62.36
0.997648,-62.35
0.997644,-62.34
0.997641,-62.33
0.997638,-62.32
0.997634,-62.31
0.997631,-62.3
0.997627,-62.29
0.997624,-62.28
0.997621,-62.27
0.997617,-62.26
0.997614,-62.25
0.997611,-62.24
0.997607,-62.23
0.997604,-62.22
0.9976,-62.21
0.997597,-62.2
0.997593,-62.19
0.99759,-62.18
0.997587,-62.17
0.997583,-62.16
0.99758,-62.15
0.997576,-62.14
0.997573,-62.13
0.997569,-62.12
0.997566,-62.11
0.997562,-62.1
0.997559,-62.09
0.997555,-62.08
0.997552,-62.07
0.997548,-62.06
0.997545,-62.05
0.997541,-62.04
0.997538,-62.03
0.997534,-62.02
0.997531,-62.01
0.997527,-62
0.997524,-61.99
0.99752,-61.98
0.997517,-61.97
0.997513,-61.96
0.99751,-61.95
0.997506,-61.94
0.997503,-61.93
0.997499,-61.92
0.997495,-61.91
0.997492,-61.9
0.997488,-61.89
0.997485,-61.88
0.997481,-61.87
0.997478,-61.86
0.997474,-61.85
0.99747,-61.84
0.997467,-61.83
0.997463,-61.82
0.99746,-61.81
0.997456,-61.8
0.997452,-61.79
0.997449,-61.78
0.997445,-61.77
0.997441,-61.76
0.997438,-61.75
0.997434,-61.74
0.99743,-61.73
0.997427,-61.72
0.997423,-61.71
0.997419,-61.7
0.997416,-61.69
0.997412,-61.68
0.997408,-61.67
0.997405,-61.66
0.997401,-61.65
0.997397,-61.64
0.997394,-61.63
0.99739,-61.62
0.997386,-61.61
0.997382,-61.6
0.997379,-61.59
0.997375,-61.58
0.997371,-61.57
0.997367,-61.56
0.997364,-61.55
0.99736,-61.54
0.997356,-61.53
0.997352,-61.52
0.997349,-61.51
0.997345,-61.5
0.997341,-61.49
0.997337,-61.48
0.997333,-61.47
0.99733,-61.46
0.997326,-61.45
0.997322,-61.44
0.997318,-61.43
0.997314,-61.42
0.997311,-61.41
0.997307,-61.4
0.997303,-61.39
0.997299,-61.38
0.997295,-61.37
0.997291,-61.36
0.997287,-61.35
0.997284,-61.34
0.99728,-61.33
0.997276,-61.32
0.997272,-61.31
0.997268,-61.3
0.997264,-61.29
0.99726,-61.28
0.997256,-61.27
0.997252,-61.26
0.997249,-61.25
0.997245,-61.24
0.997241,-61.23
0.997237,-61.22
0.997233,-61.21
0.997229,-61.2
0.997225,-61.19
0.997221,-61.18
0.997217,-61.17
0.997213,-61.16
0.997209,-61.15
0.997205,-61.14
0.997201,-61.13
0.997197,-61.12
0.997193,-61.11
0.997189,-61.1
0.997185,-61.09
0.997181,-61.08
0.997177,-61.07
0.997173,-61.06
0.997169,-61.05
0.997165,-61.04
0.997161,-61.03
0.997157,-61.02
0.997153,-61.01
0.997149,-61
0.997145,-60.99
0.997141,-60.98
0.997137,-60.97
0.997132,-60.96
0.997128,-60.95
0.997124,-60.94
0.99712,-60.93
0.997116,-60.92
0.997112,-60.91
0.997108,-60.9
0.997104,-60.89
0.9971,-60.88
0.997095,-60.87
0.997091,-60.86
0.997087,-60.85
0.997083,-60.84
0.997079,-60.83
0.997075,-60.82
0.997071,-60.81
0.997066,-60.8
0.997062,-60.79
0.997058,-60.78
0.997054,-60.77
0.99705,-60.76
0.997045,-60.75
0.997041,-60.74
0.997037,-60.73
0.997033,-60.72
0.997029,-60.71
0.997024,-60.7
0.99702,-60.69
0.997016,-60.68
0.997012,-60.67
0.997007,-60.66
0.997003,-60.65
0.996999,-60.64
0.996994,-60.63
0.99699,-60.62
0.996986,-60.61
0.996982,-60.6
0.996977,-60.59
0.996973,-60.58
0.996969,-60.57
0.996964,-60.56
0.99696,-60.55
0.996956,-60.54
0.996951,-60.53
0.996947,-60.52
0.996943,-60.51
0.996938,-60.5
0.996934,-60.49
0.99693,-60.48
0.996925,-60.47
0.996921,-60.46
0.996916,-60.45
0.996912,-60.44
0.996908,-60.43
0.996903,-60.42
0.996899,-60.41
0.996894,-60.4
0.99689,-60.39
0.996886,-60.38
0.996881,-60.37
0.996877,-60.36
0.996872,-60.35
0.996868,-60.34
0.996863,-60.33
0.996859,-60.32
0.996854,-60.31
0.99685,-60.3
0.996845,-60.29
0.996841,-60.28
0.996836,-60.27
0.996832,-60.26
0.996827,-60.25
0.996823,-60.24
0.996818,-60.23
0.996814,-60.22
0.996809,-60.21
0.996805,-60.2
0.9968,-60.19
0.996796,-60.18
0.996791,-60.17
0.996786,-60.16
0.996782,-60.15
0.996777,-60.14
0.996773,-60.13
0.996768,-60.12
0.996763,-60.11
0.996759,-60.1
0.996754,-60.09
0.99675,-60.08
0.996745,-60.07
0.99674,-60.06
0.996736,-60.05
0.996731,-60.04
0.996726,-60.03
0.996722,-60.02
0.996717,-60.01
0.996712,-60
0.996708,-59.99
0.996703,-59.98
0.996698,-59.97
0.996694,-59.96
0.996689,-59.95
0.996684,-59.94
0.996679,-59.93
0.996675,-59.92
0.99667,-59.91
0.996665,-59.9
0.99666,-59.89
0.996656,-59.88
0.996651,-59.87
0.996646,-59.86
0.996641,-59.85
0.996637,-59.84
0.996632,-59.83
0.996627,-59.82
0.996622,-59.81
0.996617,-59.8
0.996613,-59.79
0.996608,-59.78
0.996603,-59.77
0.996598,-59.76
0.996593,-59.75
0.996588,-59.74
0.996583,-59.73
0.996579,-59.72
0.996574,-59.71
0.996569,-59.7
0.996564,-59.69
0.996559,-59.68
0.996554,-59.67
0.996549,-59.66
0.996544,-59.65
0.996539,-59.64
0.996535,-59.63
0.99653,-59.62
0.996525,-59.61
0.99652,-59.6
0.996515,-59.59
0.99651,-59.58
0.996505,-59.57
0.9965,-59.56
0.996495,-59.55
0.99649,-59.54
0.996485,-59.53
0.99648,-59.52
0.996475,-59.51
0.99647,-59.5
0.996465,-59.49
0.99646,-59.48
0.996455,-59.47
0.99645,-59.46
0.996445,-59.45
0.996439,-59.44
0.996434,-59.43
0.996429,-59.42
0.996424,-59.41
0.996419,-59.4
0.996414,-59.39
0.996409,-59.38
0.996404,-59.37
0.996399,-59.36
0.996394,-59.35
0.996388,-59.34
0.996383,-59.33
0.996378,-59.32
0.996373,-59.31
0.996368,-59.3
0.996363,-59.29
0.996357,-59.28
0.996352,-59.27
0.996347,-59.26
0.996342,-59.25
0.996337,-59.24
0.996331,-59.23
0.996326,-59.22
0.996321,-59.21
0.996316,-59.2
0.996311,-59.19
0.996305,-59.18
0.9963,-59.17
0.996295,-59.16
0.996289,-59.15
0.996284,-59.14
0.996279,-59.13
0.996274,-59.12
0.996268,-59.11
0.996263,-59.1
0.996258,-59.09
0.996252,-59.08
0.996247,-59.07
0.996242,-59.06
0.996236,-59.05
0.996231,-59.04
0.996226,-59.03
0.99622,-59.02
0.996215,-59.01
0.996209,-59
0.996204,-58.99
0.996199,-58.98
0.996193,-58.97
0.996188,-58.96
0.996182,-58.95
0.996177,-58.94
0.996171,-58.93
0.996166,-58.92
0.996161,-58.91
0.996155,-58.9
0.99615,-58.89
0.996144,-58.88
0.996139,-58.87
0.996133,-58.86
0.996128,-58.85
0.996122,-58.84
0.996117,-58.83
0.996111,-58.82
0.996105,-58.81
0.9961,-58.8
0.996094,-58.79
0.996089,-58.78
0.996083,-58.77
0.996078,-58.76
0.996072,-58.75
0.996067,-58.74
0.996061,-58.73
0.996055,-58.72
0.99605,-58.71
0.996044,-58.7
0.996038,-58.69
0.996033,-58.68
0.996027,-58.67
0.996021,-58.66
0.996016,-58.65
0.99601,-58.64
0.996004,-58.63
0.995999,-58.62
0.995993,-58.61
0.995987,-58.6
0.995982,-58.59
0.995976,-58.58
0.99597,-58.57
0.995964,-58.56
0.995959,-58.55
0.995953,-58.54
0.995947,-58.53
0.995941,-58.52
0.995936,-58.51
0.99593,-58.5
0.995924,-58.49
0.995918,-58.48
0.995912,-58.47
0.995907,-58.46
0.995901,-58.45
0.995895,-58.44
0.995889,-58.43
0.995883,-58.42
0.995877,-58.41
0.995872,-58.4
0.995866,-58.39
0.99586,-58.38
0.995854,-58.37
0.995848,-58.36
0.995842,-58.35
0.995836,-58.34
0.99583,-58.33
0.995824,-58.32
0.995818,-58.31
0.995812,-58.3
0.995806,-58.29
0.9958,-58.28
0.995794,-58.27
0.995788,-58.26
0.995782,-58.25
0.995776,-58.24
0.99577,-58.23
0.995764,-58.22
0.995758,-58.21
0.995752,-58.2
0.995746,-58.19
0.99574,-58.18
0.995734,-58.17
0.995728,-58.16
0.995722,-58.15
0.995716,-58.14
0.99571,-58.13
0.995704,-58.12
0.995698,-58.11
0.995692,-58.1
0.995685,-58.09
0.995679,-58.08
0.995673,-58.07
0.995667,-58.06
0.995661,-58.05
0.995655,-58.04
0.995648,-58.03
0.995642,-58.02
0.995636,-58.01
0.99563,-58
0.995624,-57.99
0.995617,-57.98
0.995611,-57.97
0.995605,-57.96
0.995599,-57.95
0.995592,-57.94
0.995586,-57.93
0.99558,-57.92
0.995574,-57.91
0.995567,-57.9
0.995561,-57.89
0.995555,-57.88
0.995548,-57.87
0.995542,-57.86
0.995536,-57.85
0.995529,-57.84
0.995523,-57.83
0.995516,-57.82
0.99551,-57.81
0.995504,-57.8
0.995497,-57.79
0.995491,-57.78
0.995485,-57.77
0.995478,-57.76
0.995472,-57.75
0.995465,-57.74
0.995459,-57.73
0.995452,-57.72
0.995446,-57.71
0.995439,-57.7
0.995433,-57.69
0.995426,-57.68
0.99542,-57.67
0.995413,-57.66
0.995407,-57.65
0.9954,-57.64
0.995394,-57.63
0.995387,-57.62
0.995381,-57.61
0.995374,-57.6
0.995367,-57.59
0.995361,-57.58
0.995354,-57.57
0.995348,-57.56
0.995341,-57.55
0.995334,-57.54
0.995328,-57.53
0.995321,-57.52
0.995314,-57.51
0.995308,-57.5
0.995301,-57.49
0.995294,-57.48
0.995288,-57.47
0.995281,-57.46
0.995274,-57.45
0.995268,-57.44
0.995261,-57.43
0.995254,-57.42
0.995247,-57.41
0.995241,-57.4
0.995234,-57.39
0.995227,-57.38
0.99522,-57.37
0.995213,-57.36
0.995207,-57.35
0.9952,-57.34
0.995193,-57.33
0.995186,-57.32
0.995179,-57.31
0.995172,-57.3
0.995166,-57.29
0.995159,-57.28
0.995152,-57.27
0.995145,-57.26
0.995138,-57.25
0.995131,-57.24
0.995124,-57.23
0.995117,-57.22
0.99511,-57.21
0.995103,-57.2
0.995096,-57.19
0.995089,-57.18
0.995082,-57.17
0.995075,-57.16
0.995068,-57.15
0.995061,-57.14
0.995054,-57.13
0.995047,-57.12
0.99504,-57.11
0.995033,-57.1
0.995026,-57.09
0.995019,-57.08
0.995012,-57.07
0.995005,-57.06
0.994998,-57.05
0.994991,-57.04
0.994984,-57.03
0.994976,-57.02
0.994969,-57.01
0.994962,-57
0.994955,-56.99
0.994948,-56.98
0.994941,-56.97
0.994933,-56.96
0.994926,-56.95
0.994919,-56.94
0.994912,-56.93
0.994904,-56.92
0.994897,-56.91
0.99489,-56.9
0.994883,-56.89
0.994875,-56.88
0.994868,-56.87
0.994861,-56.86
0.994854,-56.85
0.994846,-56.84
0.994839,-56.83
0.994832,-56.82
0.994824,-56.81
0.994817,-56.8
0.994809,-56.79
0.994802,-56.78
0.994795,-56.77
0.994787,-56.76
0.99478,-56.75
0.994772,-56.74
0.994765,-56.73
0.994758,-56.72
0.99475,-56.71
0.994743,-56.7
0.994735,-56.69
0.994728,-56.68
0.99472,-56.67
0.994713,-56.66
0.994705,-56.65
0.994698,-56.64
0.99469,-56.63
0.994683,-56.62
0.994675,-56.61
0.994667,-56.6
0.99466,-56.59
0.994652,-56.58
0.994645,-56.57
0.994637,-56.56
0.994629,-56.55
0.994622,-56.54
0.994614,-56.53
0.994606,-56.52
0.994599,-56.51
0.994591,-56.5
0.994583,-56.49
0.994576,-56.48
0.994568,-56.47
0.99456,-56.46
0.994553,-56.45
0.994545,-56.44
0.994537,-56.43
0.994529,-56.42
0.994521,-56.41
0.994514,-56.4
0.994506,-56.39
0.994498,-56.38
0.99449,-56.37
0.994482,-56.36
0.994475,-56.35
0.994467,-56.34
0.994459,-56.33
0.994451,-56.32
0.994443,-56.31
0.994435,-56.3
0.994427,-56.29
0.994419,-56.28
0.994411,-56.27
0.994403,-56.26
0.994396,-56.25
0.994388,-56.24
0.99438,-56.23
0.994372,-56.22
0.994364,-56.21
0.994356,-56.2
0.994348,-56.19
0.99434,-56.18
0.994331,-56.17
0.994323,-56.16
0.994315,-56.15
0.994307,-56.14
0.994299,-56.13
0.994291,-56.12
0.994283,-56.11
0.994275,-56.1
0.994267,-56.09
0.994259,-56.08
0.99425,-56.07
0.994242,-56.06
0.994234,-56.05
0.994226,-56.04
0.994218,-56.03
0.994209,-56.02
0.994201,-56.01
0.994193,-56
0.994185,-55.99
0.994176,-55.98
0.994168,-55.97
0.99416,-55.96
0.994152,-55.95
0.994143,-55.94
0.994135,-55.93
0.994127,-55.92
0.994118,-55.91
0.99411,-55.9
0.994102,-55.89
0.994093,-55.88
0.994085,-55.87
0.994076,-55.86
0.994068,-55.85
0.994059,-55.84
0.994051,-55.83
0.994043,-55.82
0.994034,-55.81
0.994026,-55.8
0.994017,-55.79
0.994009,-55.78
0.994,-55.77
0.993992,-55.76
0.993983,-55.75
0.993975,-55.74
0.993966,-55.73
0.993957,-55.72
0.993949,-55.71
0.99394,-55.7
0.993932,-55.69
0.993923,-55.68
0.993914,-55.67
0.993906,-55.66
0.993897,-55.65
0.993888,-55.64
0.99388,-55.63
0.993871,-55.62
0.993862,-55.61
0.993854,-55.6
0.993845,-55.59
0.993836,-55.58
0.993827,-55.57
0.993819,-55.56
0.99381,-55.55
0.993801,-55.54
0.993792,-55.53
0.993783,-55.52
0.993775,-55.51
0.993766,-55.5
0.993757,-55.49
0.993748,-55.48
0.993739,-55.47
0.99373,-55.46
0.993721,-55.45
0.993712,-55.44
0.993703,-55.43
0.993694,-55.42
0.993685,-55.41
0.993677,-55.4
0.993668,-55.39
0.993659,-55.38
0.99365,-55.37
0.993641,-55.36
0.993631,-55.35
0.993622,-55.34
0.993613,-55.33
0.993604,-55.32
0.993595,-55.31
0.993586,-55.3
0.993577,-55.29
0.993568,-55.28
0.993559,-55.27
0.99355,-55.26
0.99354,-55.25
0.993531,-55.24
0.993522,-55.23
0.993513,-55.22
0.993504,-55.21
0.993494,-55.2
0.993485,-55.19
0.993476,-55.18
0.993467,-55.17
0.993457,-55.16
0.993448,-55.15
0.993439,-55.14
0.993429,-55.13
0.99342,-55.12
0.993411,-55.11
0.993401,-55.1
0.993392,-55.09
0.993383,-55.08
0.993373,-55.07
0.993364,-55.06
0.993354,-55.05
0.993345,-55.04
0.993336,-55.03
0.993326,-55.02
0.993317,-55.01
0.993307,-55
0.993298,-54.99
0.993288,-54.98
0.993279,-54.97
0.993269,-54.96
0.993259,-54.95
0.99325,-54.94
0.99324,-54.93
0.993231,-54.92
0.993221,-54.91
0.993212,-54.9
0.993202,-54.89
0.993192,-54.88
0.993183,-54.87
0.993173,-54.86
0.993163,-54.85
0.993153,-54.84
0.993144,-54.83
0.993134,-54.82
0.993124,-54.81
0.993115,-54.8
0.993105,-54.79
0.993095,-54.78
0.993085,-54.77
0.993075,-54.76
0.993065,-54.75
0.993056,-54.74
0.993046,-54.73
0.993036,-54.72
0.993026,-54.71
0.993016,-54.7
0.993006,-54.69
0.992996,-54.68
0.992986,-54.67
0.992976,-54.66
0.992966,-54.65
0.992956,-54.64
0.992946,-54.63
0.992936,-54.62
0.992926,-54.61
0.992916,-54.6
0.992906,-54.59
0.992896,-54.58
0.992886,-54.57
0.992876,-54.56
0.992866,-54.55
0.992856,-54.54
0.992846,-54.53
0.992836,-54.52
0.992825,-54.51
0.992815,-54.5
0.992805,-54.49
0.992795,-54.48
0.992785,-54.47
0.992774,-54.46
0.992764,-54.45
0.992754,-54.44
0.992743,-54.43
0.992733,-54.42
0.992723,-54.41
0.992713,-54.4
0.992702,-54.39
0.992692,-54.38
0.992681,-54.37
0.992671,-54.36
0.992661,-54.35
0.99265,-54.34
0.99264,-54.33
0.992629,-54.32
0.992619,-54.31
0.992608,-54.3
0.992598,-54.29
0.992587,-54.28
0.992577,-54.27
0.992566,-54.26
0.992556,-54.25
0.992545,-54.24
0.992535,-54.23
0.992524,-54.22
0.992514,-54.21
0.992503,-54.2
0.992492,-54.19
0.992482,-54.18
0.992471,-54.17
0.99246,-54.16
0.99245,-54.15
0.992439,-54.14
0.992428,-54.13
0.992417,-54.12
0.992407,-54.11
0.992396,-54.1
0.992385,-54.09
0.992374,-54.08
0.992363,-54.07
0.992353,-54.06
0.992342,-54.05
0.992331,-54.04
0.99232,-54.03
0.992309,-54.02
0.992298,-54.01
0.992287,-54
0.992276,-53.99
0.992265,-53.98
0.992254,-53.97
0.992243,-53.96
0.992232,-53.95
0.992221,-53.94
0.99221,-53.93
0.992199,-53.92
0.992188,-53.91
0.992177,-53.9
0.992166,-53.89
0.992155,-53.88
0.992144,-53.87
0.992133,-53.86
0.992122,-53.85
0.99211,-53.84
0.992099,-53.83
0.992088,-53.82
0.992077,-53.81
0.992066,-53.8
0.992054,-53.79
0.992043,-53.78
0.992032,-53.77
0.99202,-53.76
0.992009,-53.75
0.991998,-53.74
0.991986,-53.73
0.991975,-53.72
0.991964,-53.71
0.991952,-53.7
0.991941,-53.69
0.991929,-53.68
0.991918,-53.67
0.991907,-53.66
0.991895,-53.65
0.991884,-53.64
0.991872,-53.63
0.991861,-53.62
0.991849,-53.61
0.991837,-53.6
0.991826,-53.59
0.991814,-53.58
0.991803,-53.57
0.991791,-53.56
0.991779,-53.55
0.991768,-53.54
0.991756,-53.53
0.991744,-53.52
0.991733,-53.51
0.991721,-53.5
0.991709,-53.49
0.991697,-53.48
0.991686,-53.47
0.991674,-53.46
0.991662,-53.45
0.99165,-53.44
0.991638,-53.43
0.991627,-53.42
0.991615,-53.41
0.991603,-53.4
0.991591,-53.39
0.991579,-53.38
0.991567,-53.37
0.991555,-53.36
0.991543,-53.35
0.991531,-53.34
0.991519,-53.33
0.991507,-53.32
0.991495,-53.31
0.991483,-53.3
0.991471,-53.29
0.991459,-53.28
0.991447,-53.27
0.991435,-53.26
0.991423,-53.25
0.99141,-53.24
0.991398,-53.23
0.991386,-53.22
0.991374,-53.21
0.991362,-53.2
0.991349,-53.19
0.991337,-53.18
0.991325,-53.17
0.991312,-53.16
0.9913,-53.15
0.991288,-53.14
0.991275,-53.13
0.991263,-53.12
0.991251,-53.11
0.991238,-53.1
0.991226,-53.09
0.991214,-53.08
0.991201,-53.07
0.991189,-53.06
0.991176,-53.05
0.991164,-53.04
0.991151,-53.03
0.991139,-53.02
0.991126,-53.01
0.991113,-53
0.991101,-52.99
0.991088,-52.98
0.991076,-52.97
0.991063,-52.96
0.99105,-52.95
0.991038,-52.94
0.991025,-52.93
0.991012,-52.92
0.990999,-52.91
0.990987,-52.9
0.990974,-52.89
0.990961,-52.88
0.990948,-52.87
0.990936,-52.86
0.990923,-52.85
0.99091,-52.84
0.990897,-52.83
0.990884,-52.82
0.990871,-52.81
0.990858,-52.8
0.990845,-52.79
0.990832,-52.78
0.990819,-52.77
0.990806,-52.76
0.990793,-52.75
0.99078,-52.74
0.990767,-52.73
0.990754,-52.72
0.990741,-52.71
0.990728,-52.7
0.990715,-52.69
0.990702,-52.68
0.990688,-52.67
0.990675,-52.66
0.990662,-52.65
0.990649,-52.64
0.990636,-52.63
0.990622,-52.62
0.990609,-52.61
0.990596,-52.6
0.990582,-52.59
0.990569,-52.58
0.990556,-52.57
0.990542,-52.56
0.990529,-52.55
0.990516,-52.54
0.990502,-52.53
0.990489,-52.52
0.990475,-52.51
0.990462,-52.5
0.990448,-52.49
0.990435,-52.48
0.990421,-52.47
0.990408,-52.46
0.990394,-52.45
0.99038,-52.44
0.990367,-52.43
0.990353,-52.42
0.990339,-52.41
0.990326,-52.4
0.990312,-52.39
0.990298,-52.38
0.990285,-52.37
0.990271,-52.36
0.990257,-52.35
0.990243,-52.34
0.99023,-52.33
0.990216,-52.32
0.990202,-52.31
0.990188,-52.3
0.990174,-52.29
0.99016,-52.28
0.990146,-52.27
0.990132,-52.26
0.990118,-52.25
0.990104,-52.24
0.99009,-52.23
0.990076,-52.22
0.990062,-52.21
0.990048,-52.2
0.990034,-52.19
0.99002,-52.18
0.990006,-52.17
0.989992,-52.16
0.989978,-52.15
0.989963,-52.14
0.989949,-52.13
0.989935,-52.12
